metric,mean,std,median,min,max,n
raw_bump_in_mae,1.3762918761567398,0.5229814191986256,1.049801853421406,0.9703225312091358,2.3644691546350205,5
raw_outside_far,1.0,0.0,1.0,1.0,1.0,5
raw_outside_mean_d_hat,1.937440880833773,0.7670799655990701,1.8169797206332452,1.0881799062005275,3.3670870437994727,5
raw_peak_time_error,87.62857142857143,8.602135472885644,83.57142857142857,76.28571428571429,99.85714285714286,5
raw_peak_value_error,3.4366741485714285,1.7172968763234666,2.3788390857142856,2.198034971428572,6.736636257142857,5
raw_shape_corr,0.027797241101521264,0.16269780549924104,0.1059434340005587,-0.2954996575196613,0.1391020234216263,5
q40_bump_in_mae,1.3943464923916522,0.05575462108019893,1.366642773699554,1.3456746301702305,1.5014357005783043,5
q40_outside_far,0.44854881266490765,0.17830634027024844,0.3957783641160949,0.229551451187335,0.7704485488126649,5
q40_outside_mean_d_hat,0.8098079550168238,0.2263035759792976,0.7949666477164004,0.4675750074048369,1.1466606218356803,5
q40_peak_time_error,92.28571428571429,4.47852016375308,91.71428571428572,87.42857142857143,100.42857142857144,5
q40_peak_value_error,2.11296631772507,0.15180570261242304,2.20569132762753,1.8481419462673847,2.2579007569711,5
q40_shape_corr,-0.03138650937082074,0.1758465653821251,0.0459794452532884,-0.3782305893680638,0.089035304575354,5
r46b_bump_in_mae,1.3943464923916522,0.05575462108019893,1.366642773699554,1.3456746301702305,1.5014357005783043,5
r46b_outside_far,0.44854881266490765,0.17830634027024844,0.3957783641160949,0.229551451187335,0.7704485488126649,5
r46b_outside_mean_d_hat,0.8098079550168238,0.2263035759792976,0.7949666477164004,0.4675750074048369,1.1466606218356803,5
r46b_peak_time_error,92.28571428571429,4.47852016375308,91.71428571428572,87.42857142857143,100.42857142857144,5
r46b_peak_value_error,2.11296631772507,0.15180570261242304,2.20569132762753,1.8481419462673847,2.2579007569711,5
r46b_shape_corr,-0.03138650937082074,0.1758465653821251,0.0459794452532884,-0.3782305893680638,0.089035304575354,5
r46b_theta_drop,0.05,0.0,0.05,0.05,0.05,5
q40_eval_recall,0.5315718763994626,0.030263368993472553,0.5405284370801612,0.476936856247201,0.5687416032243618,5
r46b_eval_recall,0.5315718763994626,0.030263368993472553,0.5405284370801612,0.476936856247201,0.5687416032243618,5
q40_eval_far,0.44854881266490765,0.17830634027024844,0.3957783641160949,0.229551451187335,0.7704485488126649,5
r46b_eval_far,0.44854881266490765,0.17830634027024844,0.3957783641160949,0.229551451187335,0.7704485488126649,5
dropped_positive_strong,0.0,0.0,0.0,0.0,0.0,5
dropped_positive_weak,0.0,0.0,0.0,0.0,0.0,5
dropped_false_positive_strong,0.0,0.0,0.0,0.0,0.0,5
dropped_false_positive_weak,0.0,0.0,0.0,0.0,0.0,5
r46b_minus_q40_outside_far,0.0,0.0,0.0,0.0,0.0,5
r46b_minus_q40_bump_in_mae,0.0,0.0,0.0,0.0,0.0,5
r46b_minus_q40_shape_corr,0.0,0.0,0.0,0.0,0.0,5
