metric,mean,std,median,min,max,n
raw_bump_in_mae,0.8065747770085088,0.0,0.8065747770085088,0.8065747770085088,0.8065747770085088,1
raw_outside_far,1.0,0.0,1.0,1.0,1.0,1
raw_outside_mean_d_hat,0.9992798242744064,0.0,0.9992798242744064,0.9992798242744064,0.9992798242744064,1
raw_peak_time_error,99.42857142857144,0.0,99.42857142857144,99.42857142857144,99.42857142857144,1
raw_peak_value_error,2.6078186857142853,0.0,2.6078186857142853,2.6078186857142853,2.6078186857142853,1
raw_shape_corr,-0.1267753678248214,0.0,-0.1267753678248214,-0.1267753678248214,-0.1267753678248214,1
q40_bump_in_mae,1.3176628928414622,0.0,1.3176628928414622,1.3176628928414622,1.3176628928414622,1
q40_outside_far,0.6121372031662269,0.0,0.6121372031662269,0.6121372031662269,0.6121372031662269,1
q40_outside_mean_d_hat,0.5993710877095529,0.0,0.5993710877095529,0.5993710877095529,0.5993710877095529,1
q40_peak_time_error,99.42857142857144,0.0,99.42857142857144,99.42857142857144,99.42857142857144,1
q40_peak_value_error,2.6377492194894683,0.0,2.6377492194894683,2.6377492194894683,2.6377492194894683,1
q40_shape_corr,-0.0404686991718451,0.0,-0.0404686991718451,-0.0404686991718451,-0.0404686991718451,1
r46b_bump_in_mae,1.3176628928414622,0.0,1.3176628928414622,1.3176628928414622,1.3176628928414622,1
r46b_outside_far,0.6121372031662269,0.0,0.6121372031662269,0.6121372031662269,0.6121372031662269,1
r46b_outside_mean_d_hat,0.5993710877095529,0.0,0.5993710877095529,0.5993710877095529,0.5993710877095529,1
r46b_peak_time_error,99.42857142857144,0.0,99.42857142857144,99.42857142857144,99.42857142857144,1
r46b_peak_value_error,2.6377492194894683,0.0,2.6377492194894683,2.6377492194894683,2.6377492194894683,1
r46b_shape_corr,-0.0404686991718451,0.0,-0.0404686991718451,-0.0404686991718451,-0.0404686991718451,1
r46b_theta_drop,0.05,0.0,0.05,0.05,0.05,1
q40_eval_recall,0.5038065382892969,0.0,0.5038065382892969,0.5038065382892969,0.5038065382892969,1
r46b_eval_recall,0.5038065382892969,0.0,0.5038065382892969,0.5038065382892969,0.5038065382892969,1
q40_eval_far,0.6121372031662269,0.0,0.6121372031662269,0.6121372031662269,0.6121372031662269,1
r46b_eval_far,0.6121372031662269,0.0,0.6121372031662269,0.6121372031662269,0.6121372031662269,1
dropped_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_positive_weak,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_weak,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_outside_far,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_bump_in_mae,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_shape_corr,0.0,0.0,0.0,0.0,0.0,1
