lag_gt,n,aligned_expected_lag_mae,noalign_expected_lag_mae,aligned_argmax_lag_accuracy,noalign_argmax_lag_accuracy,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,3.622162882176287,0.0,0.7710608424336973,1.0,3.622162882176287,0.0
1,12,2.492919908333333,1.0,0.0,0.0,3.492919908333333,0.0
2,16,1.85066188125,2.0,0.375,0.0,3.8506618812500006,0.0
3,8,0.95653075,3.0,0.0,0.0,3.9565307499999998,0.0
4,4,0.4593907749999999,4.0,0.0,0.0,3.7350317250000002,0.0
5,4,0.8046036250000002,5.0,0.0,0.0,4.195396375,0.0
6,4,1.6230037499999999,6.0,0.0,0.0,4.37699625,0.0
