metric,mean,std,median,min,max,n
raw_bump_in_mae,0.8026646730497089,0.0,0.8026646730497089,0.8026646730497089,0.8026646730497089,1
raw_outside_far,1.0,0.0,1.0,1.0,1.0,1
raw_outside_mean_d_hat,1.0304941181794196,0.0,1.0304941181794196,1.0304941181794196,1.0304941181794196,1
raw_peak_time_error,57.57142857142857,0.0,57.57142857142857,57.57142857142857,57.57142857142857,1
raw_peak_value_error,2.851513128571429,0.0,2.851513128571429,2.851513128571429,2.851513128571429,1
raw_shape_corr,0.016554381283091,0.0,0.016554381283091,0.016554381283091,0.016554381283091,1
q40_bump_in_mae,1.3042352294359123,0.0,1.3042352294359123,1.3042352294359123,1.3042352294359123,1
q40_outside_far,0.5277044854881267,0.0,0.5277044854881267,0.5277044854881267,0.5277044854881267,1
q40_outside_mean_d_hat,0.5466001929801517,0.0,0.5466001929801517,0.5466001929801517,0.5466001929801517,1
q40_peak_time_error,57.285714285714285,0.0,57.285714285714285,57.285714285714285,57.285714285714285,1
q40_peak_value_error,2.8829497239888946,0.0,2.8829497239888946,2.8829497239888946,2.8829497239888946,1
q40_shape_corr,0.1375078585551178,0.0,0.1375078585551178,0.1375078585551178,0.1375078585551178,1
r46b_bump_in_mae,1.3042352294359123,0.0,1.3042352294359123,1.3042352294359123,1.3042352294359123,1
r46b_outside_far,0.5277044854881267,0.0,0.5277044854881267,0.5277044854881267,0.5277044854881267,1
r46b_outside_mean_d_hat,0.5466001929801517,0.0,0.5466001929801517,0.5466001929801517,0.5466001929801517,1
r46b_peak_time_error,57.285714285714285,0.0,57.285714285714285,57.285714285714285,57.285714285714285,1
r46b_peak_value_error,2.8829497239888946,0.0,2.8829497239888946,2.8829497239888946,2.8829497239888946,1
r46b_shape_corr,0.1375078585551178,0.0,0.1375078585551178,0.1375078585551178,0.1375078585551178,1
r46b_theta_drop,0.05,0.0,0.05,0.05,0.05,1
q40_eval_recall,0.5181370353784147,0.0,0.5181370353784147,0.5181370353784147,0.5181370353784147,1
r46b_eval_recall,0.5181370353784147,0.0,0.5181370353784147,0.5181370353784147,0.5181370353784147,1
q40_eval_far,0.5277044854881267,0.0,0.5277044854881267,0.5277044854881267,0.5277044854881267,1
r46b_eval_far,0.5277044854881267,0.0,0.5277044854881267,0.5277044854881267,0.5277044854881267,1
dropped_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_positive_weak,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_weak,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_outside_far,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_bump_in_mae,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_shape_corr,0.0,0.0,0.0,0.0,0.0,1
