lag_gt,n,aligned_expected_lag_mae,noalign_expected_lag_mae,aligned_argmax_lag_accuracy,noalign_argmax_lag_accuracy,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,0.24152081749375973,0.0,0.9984399375975039,1.0,0.24152081749375973,0.0
1,12,0.8511277645833332,1.0,0.0,0.0,0.14887223541666667,0.0
2,16,1.7837789696875,2.0,0.0,0.0,0.2162210303125,0.0
3,8,2.718856256375,3.0,0.0,0.0,0.281143743625,0.0
4,4,3.76706237875,4.0,0.0,0.0,0.23293762125,0.0
5,4,4.646524771499999,5.0,0.0,0.0,0.3534752285,0.0
6,4,5.671405913749999,6.0,0.0,0.0,0.32859408625,0.0
