block_id,start_time,end_time,n_samples,true_lag_mode,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag,aligned_expected_lag_mae,noalign_expected_lag_mae
1,2022-03-25 07:15,2022-03-25 09:00,8,1,3.1636479625,0.0,1.6636479625,1.5
2,2022-04-07 12:45,2022-04-07 14:30,8,2,4.6309625,0.0,1.400298325,4.0
3,2022-04-13 01:45,2022-04-13 03:30,8,2,4.0009893125,0.0,1.6592608625,4.0
4,2022-04-18 17:30,2022-04-18 19:15,8,1,4.07356975,0.0,1.59458605,2.5
5,2022-04-27 16:45,2022-04-27 18:30,8,1,3.5002748875,0.0,1.3414381125,2.5
6,2022-04-29 10:15,2022-04-29 12:00,8,1,3.6815021375,0.0,2.1815021375,1.5
