true_lag,n,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,3.622162882176287,0.0
1,12,3.492919908333333,0.0
2,16,3.8506618812500006,0.0
3,8,3.9565307499999998,0.0
4,4,3.7350317250000002,0.0
5,4,4.195396375,0.0
6,4,4.37699625,0.0
