true_lag,n,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,3.7700105703198123,0.0
1,12,3.6601668916666665,0.0
2,16,3.52346680625,0.0
3,8,3.225046125,0.0
4,4,3.3650634999999998,0.0
5,4,3.120538775,0.0
6,4,3.1434450499999995,0.0
