block_id,start_time,end_time,n_samples,true_lag_mode,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag,aligned_expected_lag_mae,noalign_expected_lag_mae
1,2022-03-25 07:15,2022-03-25 09:00,8,1,0.84792971875,0.0,0.6520702812499999,1.5
2,2022-04-07 12:45,2022-04-07 14:30,8,2,1.818532075,0.0,2.1814679249999998,4.0
3,2022-04-13 01:45,2022-04-13 03:30,8,2,0.27138972375000003,0.0,3.7286102762500004,4.0
4,2022-04-18 17:30,2022-04-18 19:15,8,1,0.80203261,0.0,1.69796739,2.5
5,2022-04-27 16:45,2022-04-27 18:30,8,1,2.6127180875000002,0.0,1.0349019625,2.5
6,2022-04-29 10:15,2022-04-29 12:00,8,1,1.043531075,0.0,0.6479378499999999,1.5
