block_id,start_time,end_time,n_samples,true_lag_mode,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag,aligned_expected_lag_mae,noalign_expected_lag_mae
1,2022-03-25 07:15,2022-03-25 09:00,8,1,1.2872122125,0.0,0.4341438625,1.5
2,2022-04-07 12:45,2022-04-07 14:30,8,2,2.0331953125,0.0,2.0534470625,4.0
3,2022-04-13 01:45,2022-04-13 03:30,8,2,0.25318196375,0.0,3.74681803625,4.0
4,2022-04-18 17:30,2022-04-18 19:15,8,1,1.014243195,0.0,1.596270005,2.5
5,2022-04-27 16:45,2022-04-27 18:30,8,1,0.93510854625,0.0,1.57084435375,2.5
6,2022-04-29 10:15,2022-04-29 12:00,8,1,0.26629125124999997,0.0,1.23370874875,1.5
