lag_gt,n,aligned_expected_lag_mae,noalign_expected_lag_mae,aligned_argmax_lag_accuracy,noalign_argmax_lag_accuracy,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,1.0617699635319813,0.0,0.985179407176287,1.0,1.0617699635319813,0.0
1,12,0.4237656408333333,1.0,0.0,0.0,0.8014491424999998,0.0
2,16,1.049710484375,2.0,0.0,0.0,0.9936107031250001,0.0
3,8,1.95985676625,3.0,0.0,0.0,1.04014323375,0.0
4,4,3.0528305,4.0,0.0,0.0,0.9471695000000001,0.0
5,4,3.94392505,5.0,0.0,0.0,1.05607495,0.0
6,4,4.883856195,6.0,0.0,0.0,1.116143805,0.0
