lag_gt,n,aligned_expected_lag_mae,noalign_expected_lag_mae,aligned_argmax_lag_accuracy,noalign_argmax_lag_accuracy,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,3.7700105703198123,0.0,0.3736349453978159,1.0,3.7700105703198123,0.0
1,12,2.6601668916666665,1.0,0.0,0.0,3.6601668916666665,0.0
2,16,1.52346680625,2.0,0.75,0.0,3.52346680625,0.0
3,8,0.30223617500000005,3.0,0.0,0.0,3.225046125,0.0
4,4,0.6349365,4.0,0.0,0.0,3.3650634999999998,0.0
5,4,1.879461225,5.0,0.0,0.0,3.120538775,0.0
6,4,2.8565549500000005,6.0,0.0,0.0,3.1434450499999995,0.0
