block_id,start_time,end_time,n_samples,true_lag_mode,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag,aligned_expected_lag_mae,noalign_expected_lag_mae
1,2022-03-25 07:15,2022-03-25 09:00,8,1,0.1350240475,0.0,1.3649759525,1.5
2,2022-04-07 12:45,2022-04-07 14:30,8,2,0.58819931375,0.0,3.4118006862500003,4.0
3,2022-04-13 01:45,2022-04-13 03:30,8,2,0.105089521875,0.0,3.8949104781250004,4.0
4,2022-04-18 17:30,2022-04-18 19:15,8,1,0.07594567487500001,0.0,2.4240543251249997,2.5
5,2022-04-27 16:45,2022-04-27 18:30,8,1,0.4003282325,0.0,2.0996717675,2.5
6,2022-04-29 10:15,2022-04-29 12:00,8,1,0.089810834875,0.0,1.4101891651249998,1.5
