true_lag,n,aligned_mean_pred_expected_lag,noalign_mean_pred_expected_lag
0,2564,0.24152081749375973,0.0
1,12,0.14887223541666667,0.0
2,16,0.2162210303125,0.0
3,8,0.281143743625,0.0
4,4,0.23293762125,0.0
5,4,0.3534752285,0.0
6,4,0.32859408625,0.0
