seed,MSE,MAE,RMSE,R2,scaled_MSE,scaled_MAE,scaled_RMSE,scaled_R2,n_test
42,74.81890106201172,6.156846046447754,8.649791717529297,0.359521086433376,0.8835906386375427,0.6690801382064819,0.9399949908256531,0.3595210843744996,2612
134,77.55326080322266,6.0468621253967285,8.806432723999023,0.33611391057479667,0.9158827066421509,0.6571279764175415,0.9570176005363464,0.3361139094225801,2612
456,78.32870483398438,6.2669596672058105,8.850350379943848,0.3294758297076892,0.9250404238700867,0.6810465455055237,0.9617902040481567,0.3294758327421623,2612
321,82.07503509521484,6.230607509613037,9.059527397155762,0.29740574717360924,0.9692835211753845,0.6770960092544556,0.9845219850540161,0.29740574328671454,2612
712,73.19480895996094,5.957418441772461,8.55539608001709,0.3734239550847235,0.8644105195999146,0.6474078893661499,0.9297367930412292,0.37342394803261747,2612
mean±std,77.194142 ± 3.061887,6.131739 ± 0.115136,8.784300 ± 0.173834,0.339188 ± 0.026211,0.911642 ± 0.036160,0.666352 ± 0.012512,0.954612 ± 0.018891,0.339188 ± 0.026211,2612
