metric,mean,std,median,min,max,n
raw_bump_in_mae,0.8088438823600537,0.0,0.8088438823600537,0.8088438823600537,0.8088438823600537,1
raw_outside_far,1.0,0.0,1.0,1.0,1.0,1
raw_outside_mean_d_hat,0.998313718364116,0.0,0.998313718364116,0.998313718364116,0.998313718364116,1
raw_peak_time_error,35.42857142857143,0.0,35.42857142857143,35.42857142857143,35.42857142857143,1
raw_peak_value_error,3.2480821285714288,0.0,3.2480821285714288,3.2480821285714288,3.2480821285714288,1
raw_shape_corr,-0.0133844411056037,0.0,-0.0133844411056037,-0.0133844411056037,-0.0133844411056037,1
q40_bump_in_mae,1.3192243953535443,0.0,1.3192243953535443,1.3192243953535443,1.3192243953535443,1
q40_outside_far,0.5778364116094987,0.0,0.5778364116094987,0.5778364116094987,0.5778364116094987,1
q40_outside_mean_d_hat,0.5580754392755329,0.0,0.5580754392755329,0.5580754392755329,0.5580754392755329,1
q40_peak_time_error,56.42857142857143,0.0,56.42857142857143,56.42857142857143,56.42857142857143,1
q40_peak_value_error,3.2859393323682653,0.0,3.2859393323682653,3.2859393323682653,3.2859393323682653,1
q40_shape_corr,0.0079790903263063,0.0,0.0079790903263063,0.0079790903263063,0.0079790903263063,1
r46b_bump_in_mae,1.3192243953535443,0.0,1.3192243953535443,1.3192243953535443,1.3192243953535443,1
r46b_outside_far,0.5778364116094987,0.0,0.5778364116094987,0.5778364116094987,0.5778364116094987,1
r46b_outside_mean_d_hat,0.5580754392755329,0.0,0.5580754392755329,0.5580754392755329,0.5580754392755329,1
r46b_peak_time_error,56.42857142857143,0.0,56.42857142857143,56.42857142857143,56.42857142857143,1
r46b_peak_value_error,3.2859393323682653,0.0,3.2859393323682653,3.2859393323682653,3.2859393323682653,1
r46b_shape_corr,0.0079790903263063,0.0,0.0079790903263063,0.0079790903263063,0.0079790903263063,1
r46b_theta_drop,0.05,0.0,0.05,0.05,0.05,1
q40_eval_recall,0.509628302731751,0.0,0.509628302731751,0.509628302731751,0.509628302731751,1
r46b_eval_recall,0.509628302731751,0.0,0.509628302731751,0.509628302731751,0.509628302731751,1
q40_eval_far,0.5778364116094987,0.0,0.5778364116094987,0.5778364116094987,0.5778364116094987,1
r46b_eval_far,0.5778364116094987,0.0,0.5778364116094987,0.5778364116094987,0.5778364116094987,1
dropped_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_positive_weak,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_strong,0.0,0.0,0.0,0.0,0.0,1
dropped_false_positive_weak,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_outside_far,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_bump_in_mae,0.0,0.0,0.0,0.0,0.0,1
r46b_minus_q40_shape_corr,0.0,0.0,0.0,0.0,0.0,1
