seed,MSE,MAE,RMSE,R2,scaled_MSE,scaled_MAE,scaled_RMSE,scaled_R2,n_test
42,68.62873840332031,5.757462501525879,8.284246444702148,0.4125112998455652,0.8104864954948425,0.6256781816482544,0.9002702236175537,0.41251129813012066,2612
134,82.3816909790039,6.448637962341309,9.076436042785645,0.29478063030467316,0.9729050397872925,0.7007899880409241,0.9863594770431519,0.29478062887989587,2612
456,74.89427185058594,6.1518049240112305,8.65414810180664,0.3588759109853179,0.8844807147979736,0.6685323715209961,0.9404683709144592,0.3588759085537321,2612
321,73.14141082763672,6.0123701095581055,8.552275657653809,0.37388099709715217,0.8637800216674805,0.6533795595169067,0.9293976426124573,0.373880997814382,2612
712,76.496826171875,6.158771514892578,8.746246337890625,0.3451574290325472,0.9034063220024109,0.6692894101142883,0.950476884841919,0.3451574369101006,2612
mean±std,75.108588 ± 4.488416,6.105809 ± 0.224735,8.662671 ± 0.258322,0.357041 ± 0.038423,0.887012 ± 0.053007,0.663534 ± 0.024423,0.941395 ± 0.028073,0.357041 ± 0.038423,2612
